"08981: Konsumprisindeks (2015=100), etter måned, år og statistikkvariabel"

"måned";"år";"Konsumprisindeks (2015=100)"
"Årsgjennomsnitt";"1920";5.5
"Årsgjennomsnitt";"1921";5.1
"Årsgjennomsnitt";"1922";4.3
"Årsgjennomsnitt";"1923";4.0
"Årsgjennomsnitt";"1924";4.4
"Årsgjennomsnitt";"1925";4.5
"Årsgjennomsnitt";"1926";3.8
"Årsgjennomsnitt";"1927";3.5
"Årsgjennomsnitt";"1928";3.2
"Årsgjennomsnitt";"1929";3.1
"Årsgjennomsnitt";"1930";3.0
"Årsgjennomsnitt";"1931";2.8
"Årsgjennomsnitt";"1932";2.8
"Årsgjennomsnitt";"1933";2.7
"Årsgjennomsnitt";"1934";2.8
"Årsgjennomsnitt";"1935";2.8
"Årsgjennomsnitt";"1936";2.9
"Årsgjennomsnitt";"1937";3.1
"Årsgjennomsnitt";"1938";3.2
"Årsgjennomsnitt";"1939";3.2
"Årsgjennomsnitt";"1940";3.7
"Årsgjennomsnitt";"1941";4.4
"Årsgjennomsnitt";"1942";4.7
"Årsgjennomsnitt";"1943";4.8
"Årsgjennomsnitt";"1944";4.9
"Årsgjennomsnitt";"1945";4.9
"Årsgjennomsnitt";"1946";5.1
"Årsgjennomsnitt";"1947";5.1
"Årsgjennomsnitt";"1948";5.1
"Årsgjennomsnitt";"1949";5.1
"Årsgjennomsnitt";"1950";5.3
"Årsgjennomsnitt";"1951";6.2
"Årsgjennomsnitt";"1952";6.7
"Årsgjennomsnitt";"1953";6.9
"Årsgjennomsnitt";"1954";7.1
"Årsgjennomsnitt";"1955";7.2
"Årsgjennomsnitt";"1956";7.5
"Årsgjennomsnitt";"1957";7.7
"Årsgjennomsnitt";"1958";8.1
"Årsgjennomsnitt";"1959";8.3
"Årsgjennomsnitt";"1960";8.3
"Årsgjennomsnitt";"1961";8.5
"Årsgjennomsnitt";"1962";8.9
"Årsgjennomsnitt";"1963";9.2
"Årsgjennomsnitt";"1964";9.7
"Årsgjennomsnitt";"1965";10.1
"Årsgjennomsnitt";"1966";10.4
"Årsgjennomsnitt";"1967";10.9
"Årsgjennomsnitt";"1968";11.3
"Årsgjennomsnitt";"1969";11.6
"Årsgjennomsnitt";"1970";12.8
"Årsgjennomsnitt";"1971";13.7
"Årsgjennomsnitt";"1972";14.6
"Årsgjennomsnitt";"1973";15.7
"Årsgjennomsnitt";"1974";17.2
"Årsgjennomsnitt";"1975";19.2
"Årsgjennomsnitt";"1976";21.0
"Årsgjennomsnitt";"1977";22.9
"Årsgjennomsnitt";"1978";24.7
"Årsgjennomsnitt";"1979";25.9
"Årsgjennomsnitt";"1980";28.7
"Årsgjennomsnitt";"1981";32.6
"Årsgjennomsnitt";"1982";36.3
"Årsgjennomsnitt";"1983";39.4
"Årsgjennomsnitt";"1984";41.9
"Årsgjennomsnitt";"1985";44.2
"Årsgjennomsnitt";"1986";47.4
"Årsgjennomsnitt";"1987";51.6
"Årsgjennomsnitt";"1988";55.0
"Årsgjennomsnitt";"1989";57.5
"Årsgjennomsnitt";"1990";59.9
"Årsgjennomsnitt";"1991";61.9
"Årsgjennomsnitt";"1992";63.4
"Årsgjennomsnitt";"1993";64.8
"Årsgjennomsnitt";"1994";65.7
"Årsgjennomsnitt";"1995";67.3
"Årsgjennomsnitt";"1996";68.2
"Årsgjennomsnitt";"1997";69.9
"Årsgjennomsnitt";"1998";71.5
"Årsgjennomsnitt";"1999";73.2
"Årsgjennomsnitt";"2000";75.5
"Årsgjennomsnitt";"2001";77.7
"Årsgjennomsnitt";"2002";78.7
"Årsgjennomsnitt";"2003";80.7
"Årsgjennomsnitt";"2004";81.0
"Årsgjennomsnitt";"2005";82.3
"Årsgjennomsnitt";"2006";84.2
"Årsgjennomsnitt";"2007";84.8
"Årsgjennomsnitt";"2008";88.0
"Årsgjennomsnitt";"2009";89.9
"Årsgjennomsnitt";"2010";92.1
"Årsgjennomsnitt";"2011";93.3
"Årsgjennomsnitt";"2012";93.9
"Årsgjennomsnitt";"2013";95.9
"Årsgjennomsnitt";"2014";97.9
"Årsgjennomsnitt";"2015";100.0
"Årsgjennomsnitt";"2016";103.6
"Årsgjennomsnitt";"2017";105.5
"Årsgjennomsnitt";"2018";108.4
"Årsgjennomsnitt";"2019";110.8
"Årsgjennomsnitt";"2020";112.2
