"09174: Lønn, sysselsetting og produktivitet, etter næring, år og statistikkvariabel"

"næring";"år";"Lønn (mill. kr)"
"Totalt for næringer";"1970";38167
"Totalt for næringer";"1971";43559
"Totalt for næringer";"1972";48507
"Totalt for næringer";"1973";53782
"Totalt for næringer";"1974";61743
"Totalt for næringer";"1975";73449
"Totalt for næringer";"1976";86378
"Totalt for næringer";"1977";97989
"Totalt for næringer";"1978";107595
"Totalt for næringer";"1979";112411
"Totalt for næringer";"1980";126137
"Totalt for næringer";"1981";142853
"Totalt for næringer";"1982";159382
"Totalt for næringer";"1983";172878
"Totalt for næringer";"1984";189041
"Totalt for næringer";"1985";209943
"Totalt for næringer";"1986";236901
"Totalt for næringer";"1987";265606
"Totalt for næringer";"1988";280219
"Totalt for næringer";"1989";284481
"Totalt for næringer";"1990";296045
"Totalt for næringer";"1991";308852
"Totalt for næringer";"1992";319887
"Totalt for næringer";"1993";333859
"Totalt for næringer";"1994";350016
"Totalt for næringer";"1995";370969
"Totalt for næringer";"1996";396909
"Totalt for næringer";"1997";429895
"Totalt for næringer";"1998";470222
"Totalt for næringer";"1999";501075
"Totalt for næringer";"2000";527392
"Totalt for næringer";"2001";554691
"Totalt for næringer";"2002";583129
"Totalt for næringer";"2003";596941
"Totalt for næringer";"2004";625146
"Totalt for næringer";"2005";660282
"Totalt for næringer";"2006";719367
"Totalt for næringer";"2007";795710
"Totalt for næringer";"2008";870676
"Totalt for næringer";"2009";897710
"Totalt for næringer";"2010";929266
"Totalt for næringer";"2011";987415
"Totalt for næringer";"2012";1049849
"Totalt for næringer";"2013";1109112
"Totalt for næringer";"2014";1153798
"Totalt for næringer";"2015";1188640
"Totalt for næringer";"2016";1210941
"Totalt for næringer";"2017";1251966
"Totalt for næringer";"2018";1312956
"Totalt for næringer";"2019";1383145
"Totalt for næringer";"2020";1391326
"Totalt for næringer";"2021";1472169
"Totalt for næringer";"2022";1590190
"Totalt for næringer";"2023";1694493
"Totalt for næringer";"2024";1792812
