"09842: BNP og andre hovedstørrelser (kr per innbygger), etter år og statistikkvariabel"

"år";"Bruttonasjonalprodukt"
"1970";23616
"1971";26363
"1972";29078
"1973";32805
"1974";37734
"1975";42884
"1976";48711
"1977";54652
"1978";60090
"1979";66069
"1980";77902
"1981";89034
"1982";98261
"1983";108917
"1984";122337
"1985";135436
"1986";139636
"1987";151633
"1988";157759
"1989";167649
"1990";176793
"1991";185391
"1992";189691
"1993";198377
"1994";206899
"1995";220945
"1996";240719
"1997";259092
"1998";262596
"1999";283839
"2000";336037
"2001";347097
"2002";344665
"2003";355782
"2004";389407
"2005";431951
"2006";477371
"2007";501189
"2008";549920
"2009";505250
"2010";532873
"2011";567309
"2012";594408
"2013";608314
"2014";615439
"2015";603130
"2016";595100
"2017";629737
"2018";673313
"2019";672589
"2020";643478
"2021";799497
"2022";1050535
"2023";924263
"2024";932843
