"12462: Produsentprisindeks. Olje-/ gassutv., industri, bergverksdrift og kraftforsyning (2021=100), etter marked, næring/varegruppe, måned og statistikkvariabel"

"marked";"næring/varegruppe";"måned";"Produsentprisindeks (2021=100)"
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2000M01";17.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2000M02";18.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2000M03";19.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2000M04";16.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2000M05";20.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2000M06";21.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2000M07";20.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2000M08";21.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2000M09";24.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2000M10";23.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2000M11";24.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2000M12";19.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2001M01";17.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2001M02";19.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2001M03";18.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2001M04";19.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2001M05";21.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2001M06";21.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2001M07";18.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2001M08";19.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2001M09";19.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2001M10";16.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2001M11";14.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2001M12";14.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2002M01";15.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2002M02";16.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2002M03";17.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2002M04";18.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2002M05";18.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2002M06";16.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2002M07";16.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2002M08";17.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2002M09";18.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2002M10";17.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2002M11";15.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2002M12";17.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2003M01";18.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2003M02";19.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2003M03";18.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2003M04";16.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2003M05";15.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2003M06";16.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2003M07";17.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2003M08";18.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2003M09";17.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2003M10";17.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2003M11";17.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2003M12";17.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2004M01";18.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2004M02";18.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2004M03";19.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2004M04";19.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2004M05";21.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2004M06";20.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2004M07";21.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2004M08";23.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2004M09";23.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2004M10";26.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2004M11";21.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2004M12";20.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2005M01";22.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2005M02";23.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2005M03";26.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2005M04";26.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2005M05";24.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2005M06";27.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2005M07";29.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2005M08";32.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2005M09";31.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2005M10";30.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2005M11";29.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2005M12";29.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2006M01";32.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2006M02";31.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2006M03";31.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2006M04";34.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2006M05";32.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2006M06";32.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2006M07";34.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2006M08";34.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2006M09";31.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2006M10";30.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2006M11";29.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2006M12";30.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2007M01";28.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2007M02";28.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2007M03";29.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2007M04";30.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2007M05";30.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2007M06";31.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2007M07";32.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2007M08";30.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2007M09";31.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2007M10";32.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2007M11";35.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2007M12";35.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2008M01";37.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2008M02";38.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2008M03";38.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2008M04";40.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2008M05";44.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2008M06";47.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2008M07";48.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2008M08";47.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2008M09";46.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2008M10";46.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2008M11";43.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2008M12";40.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2009M01";40.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2009M02";38.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2009M03";39.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2009M04";38.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2009M05";42.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2009M06";48.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2009M07";43.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2009M08";47.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2009M09";42.8
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2009M10";44.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2009M11";46.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2009M12";45.9
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2010M01";49.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2010M02";50.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2010M03";52.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2010M04";56.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2010M05";56.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2010M06";59.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2010M07";59.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2010M08";59.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2010M09";58.6
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2010M10";58.2
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2010M11";61.7
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2010M12";65.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2011M01";68.3
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2011M02";69.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2011M03";72.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2011M04";76.1
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2011M05";73.0
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2011M06";72.5
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2011M07";75.4
"Hjemme- og eksportmarked i alt";"Utvinning av råolje og naturgass";"2011M08";72.0
