"13760: Arbeidsstyrken, sysselsatte, arbeidsledige  og utførte ukeverk for personer 15-74 år, etter kjønn, alder, type justering, måned og statistikkvariabel"

"kjønn";"alder";"type justering";"måned";"Sysselsatte i prosent av befolkningen"
"Begge kjønn";"25-74 år";"Trend";"2006M01";..
"Begge kjønn";"25-74 år";"Trend";"2006M02";..
"Begge kjønn";"25-74 år";"Trend";"2006M03";..
"Begge kjønn";"25-74 år";"Trend";"2006M04";..
"Begge kjønn";"25-74 år";"Trend";"2006M05";..
"Begge kjønn";"25-74 år";"Trend";"2006M06";..
"Begge kjønn";"25-74 år";"Trend";"2006M07";..
"Begge kjønn";"25-74 år";"Trend";"2006M08";..
"Begge kjønn";"25-74 år";"Trend";"2006M09";..
"Begge kjønn";"25-74 år";"Trend";"2006M10";..
"Begge kjønn";"25-74 år";"Trend";"2006M11";..
"Begge kjønn";"25-74 år";"Trend";"2006M12";..
"Begge kjønn";"25-74 år";"Trend";"2007M01";..
"Begge kjønn";"25-74 år";"Trend";"2007M02";..
"Begge kjønn";"25-74 år";"Trend";"2007M03";..
"Begge kjønn";"25-74 år";"Trend";"2007M04";..
"Begge kjønn";"25-74 år";"Trend";"2007M05";..
"Begge kjønn";"25-74 år";"Trend";"2007M06";..
"Begge kjønn";"25-74 år";"Trend";"2007M07";..
"Begge kjønn";"25-74 år";"Trend";"2007M08";..
"Begge kjønn";"25-74 år";"Trend";"2007M09";..
"Begge kjønn";"25-74 år";"Trend";"2007M10";..
"Begge kjønn";"25-74 år";"Trend";"2007M11";..
"Begge kjønn";"25-74 år";"Trend";"2007M12";..
"Begge kjønn";"25-74 år";"Trend";"2008M01";..
"Begge kjønn";"25-74 år";"Trend";"2008M02";..
"Begge kjønn";"25-74 år";"Trend";"2008M03";..
"Begge kjønn";"25-74 år";"Trend";"2008M04";..
"Begge kjønn";"25-74 år";"Trend";"2008M05";..
"Begge kjønn";"25-74 år";"Trend";"2008M06";..
"Begge kjønn";"25-74 år";"Trend";"2008M07";..
"Begge kjønn";"25-74 år";"Trend";"2008M08";..
"Begge kjønn";"25-74 år";"Trend";"2008M09";..
"Begge kjønn";"25-74 år";"Trend";"2008M10";..
"Begge kjønn";"25-74 år";"Trend";"2008M11";..
"Begge kjønn";"25-74 år";"Trend";"2008M12";..
"Begge kjønn";"25-74 år";"Trend";"2009M01";74.9
"Begge kjønn";"25-74 år";"Trend";"2009M02";74.8
"Begge kjønn";"25-74 år";"Trend";"2009M03";74.7
"Begge kjønn";"25-74 år";"Trend";"2009M04";74.6
"Begge kjønn";"25-74 år";"Trend";"2009M05";74.5
"Begge kjønn";"25-74 år";"Trend";"2009M06";74.4
"Begge kjønn";"25-74 år";"Trend";"2009M07";74.2
"Begge kjønn";"25-74 år";"Trend";"2009M08";74.0
"Begge kjønn";"25-74 år";"Trend";"2009M09";73.8
"Begge kjønn";"25-74 år";"Trend";"2009M10";73.8
"Begge kjønn";"25-74 år";"Trend";"2009M11";73.6
"Begge kjønn";"25-74 år";"Trend";"2009M12";73.5
"Begge kjønn";"25-74 år";"Trend";"2010M01";73.4
"Begge kjønn";"25-74 år";"Trend";"2010M02";73.4
"Begge kjønn";"25-74 år";"Trend";"2010M03";73.3
"Begge kjønn";"25-74 år";"Trend";"2010M04";73.3
"Begge kjønn";"25-74 år";"Trend";"2010M05";73.3
"Begge kjønn";"25-74 år";"Trend";"2010M06";73.3
"Begge kjønn";"25-74 år";"Trend";"2010M07";73.3
"Begge kjønn";"25-74 år";"Trend";"2010M08";73.3
"Begge kjønn";"25-74 år";"Trend";"2010M09";73.2
"Begge kjønn";"25-74 år";"Trend";"2010M10";73.2
"Begge kjønn";"25-74 år";"Trend";"2010M11";73.3
"Begge kjønn";"25-74 år";"Trend";"2010M12";73.3
"Begge kjønn";"25-74 år";"Trend";"2011M01";73.4
"Begge kjønn";"25-74 år";"Trend";"2011M02";73.3
"Begge kjønn";"25-74 år";"Trend";"2011M03";73.3
"Begge kjønn";"25-74 år";"Trend";"2011M04";73.3
"Begge kjønn";"25-74 år";"Trend";"2011M05";73.3
"Begge kjønn";"25-74 år";"Trend";"2011M06";73.4
"Begge kjønn";"25-74 år";"Trend";"2011M07";73.4
"Begge kjønn";"25-74 år";"Trend";"2011M08";73.4
"Begge kjønn";"25-74 år";"Trend";"2011M09";73.3
"Begge kjønn";"25-74 år";"Trend";"2011M10";73.3
"Begge kjønn";"25-74 år";"Trend";"2011M11";73.3
"Begge kjønn";"25-74 år";"Trend";"2011M12";73.3
"Begge kjønn";"25-74 år";"Trend";"2012M01";73.3
"Begge kjønn";"25-74 år";"Trend";"2012M02";73.3
"Begge kjønn";"25-74 år";"Trend";"2012M03";73.3
"Begge kjønn";"25-74 år";"Trend";"2012M04";73.2
