"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2025","43.22","43.57","43.57","43.14","58.78K","-0.85%"
"05/07/2025","43.59","43.51","43.68","43.51","17.67K","0.30%"
"05/06/2025","43.46","43.30","43.48","43.29","30.91K","0.25%"
"05/05/2025","43.35","43.41","43.41","43.25","30.59K","-0.12%"
"05/02/2025","43.40","43.51","43.58","43.37","37.36K","-0.80%"
"05/01/2025","43.75","44.02","44.08","43.67","41.01K","-0.82%"
"04/30/2025","44.11","44.06","44.17","44.01","43.43K","0.10%"
"04/29/2025","44.07","43.88","44.08","43.88","34.53K","0.36%"
"04/28/2025","43.91","43.68","43.92","43.67","30.61K","0.39%"
"04/25/2025","43.74","43.69","43.76","43.64","25.45K","0.41%"
"04/24/2025","43.56","43.50","43.57","43.45","32.37K","0.58%"
"04/23/2025","43.31","43.67","43.76","43.27","74.95K","0.14%"
"04/22/2025","43.25","43.32","43.34","43.24","23.80K","0.14%"
"04/21/2025","43.19","43.29","43.46","43.19","46.76K","-0.63%"
"04/17/2025","43.47","43.58","43.63","43.43","27.42K","-0.33%"
"04/16/2025","43.61","43.47","43.67","43.37","92.22K","0.44%"
"04/15/2025","43.42","43.27","43.52","43.27","41.57K","0.32%"
"04/14/2025","43.28","43.15","43.33","43.09","88.94K","0.77%"
"04/11/2025","42.95","42.89","43.04","42.57","235.60K","-0.69%"
"04/10/2025","43.25","43.42","43.54","43.14","251.40K","-0.55%"
"04/09/2025","43.49","43.24","43.57","42.90","245.61K","-0.30%"
"04/08/2025","43.62","43.64","43.96","43.40","126.14K","-0.55%"
"04/07/2025","43.86","44.39","44.49","43.86","192.11K","-1.42%"
"04/04/2025","44.49","44.80","44.92","44.49","191.54K","0.38%"
"04/03/2025","44.32","44.40","44.49","44.28","96.64K","1.03%"
"04/02/2025","43.87","44.11","44.11","43.74","64.11K","-0.14%"
"04/01/2025","43.93","43.88","44.05","43.87","43.80K","0.05%"
"03/31/2025","43.91","43.98","44.00","43.77","52.58K","0.25%"
"03/28/2025","43.80","43.62","43.80","43.60","54.51K","0.97%"
"03/27/2025","43.38","43.37","43.42","43.32","51.39K","-0.14%"
"03/26/2025","43.44","43.46","43.51","43.40","39.64K","-0.28%"
"03/25/2025","43.56","43.47","43.62","43.47","130.57K","0.18%"
"03/24/2025","43.48","43.61","43.63","43.47","49.32K","-0.62%"
"03/21/2025","43.75","43.89","43.91","43.74","49.29K","-0.18%"
"03/20/2025","43.83","44.00","44.00","43.76","54.65K","0.18%"
"03/19/2025","43.75","43.57","43.75","43.50","47.21K","0.34%"
"03/18/2025","43.60","43.48","43.68","43.48","23.92K","0.09%"
"03/17/2025","43.56","43.62","43.70","43.52","47.21K","0.15%"
"03/14/2025","43.50","43.54","43.58","43.50","41.48K","-0.38%"
"03/13/2025","43.66","43.40","43.68","43.36","67.99K","0.42%"
"03/12/2025","43.48","43.49","43.58","43.46","30.42K","-0.32%"
"03/11/2025","43.62","43.77","43.91","43.55","119.15K","-0.37%"
"03/10/2025","43.78","43.74","43.87","43.70","98.75K","0.67%"
"03/07/2025","43.49","43.76","43.77","43.42","31.25K","-0.09%"
"03/06/2025","43.53","43.53","43.62","43.36","64.95K","-0.11%"
"03/05/2025","43.58","43.85","43.88","43.56","70.48K","-0.56%"
"03/04/2025","43.83","44.05","44.17","43.77","71.68K","-0.37%"
"03/03/2025","43.99","43.66","44.01","43.66","80.92K","-0.02%"
"02/28/2025","44.00","43.86","44.01","43.78","192.76K","0.64%"
"02/27/2025","43.72","43.62","43.74","43.62","283.55K","-0.13%"
"02/26/2025","43.78","43.63","43.81","43.58","39.82K","0.29%"
"02/25/2025","43.65","43.57","43.66","43.53","34.96K","0.89%"
"02/24/2025","43.27","43.11","43.29","43.11","26.49K","0.22%"
"02/21/2025","43.17","42.96","43.22","42.94","40.19K","0.61%"
"02/20/2025","42.91","42.86","42.92","42.86","38.26K","0.33%"
"02/19/2025","42.77","42.69","42.79","42.68","16.53K","0.12%"
"02/18/2025","42.72","42.82","42.86","42.71","13.19K","-0.60%"
"02/14/2025","42.98","43.01","43.07","42.96","28.69K","0.47%"
"02/13/2025","42.78","42.68","42.82","42.68","32.02K","0.77%"
"02/12/2025","42.45","42.43","42.47","42.35","42.25K","-0.71%"
"02/11/2025","42.76","42.75","42.79","42.73","39.41K","-0.27%"
"02/10/2025","42.87","42.95","43.00","42.85","25.29K","-0.12%"
"02/07/2025","42.92","42.91","42.93","42.82","59.48K","-0.28%"
"02/06/2025","43.04","43.04","43.12","42.99","39.74K","-0.12%"
"02/05/2025","43.09","43.01","43.17","43.01","27.49K","0.67%"
"02/04/2025","42.80","42.61","42.81","42.61","60.57K","0.23%"
"02/03/2025","42.71","42.83","42.92","42.64","26.25K","-0.27%"
"01/31/2025","42.82","42.90","42.96","42.71","29.64K","-0.14%"
"01/30/2025","42.88","42.88","42.95","42.85","23.75K","0.21%"
"01/29/2025","42.79","42.89","42.90","42.68","75.90K","-0.10%"
"01/28/2025","42.83","42.73","42.84","42.69","22.13K","-0.03%"
"01/27/2025","42.84","42.81","42.85","42.73","31.80K","0.73%"
"01/24/2025","42.53","42.43","42.57","42.41","26.01K","0.22%"
"01/23/2025","42.44","42.39","42.48","42.39","18.65K","-0.30%"
"01/22/2025","42.57","42.67","42.68","42.53","32.85K","-0.35%"
"01/21/2025","42.72","42.69","42.74","42.64","36.01K","0.44%"
"01/17/2025","42.53","42.58","42.60","42.50","27.25K","0.03%"
"01/16/2025","42.52","42.35","42.61","42.29","33.43K","0.34%"
"01/15/2025","42.38","42.37","42.42","42.29","34.89K","1.09%"
"01/14/2025","41.92","41.92","41.95","41.86","46.11K","0.00%"
"01/13/2025","41.92","41.97","41.98","41.85","54.90K","-0.14%"
"01/10/2025","41.98","41.96","42.12","41.94","76.02K","-0.69%"
"01/08/2025","42.27","42.15","42.33","42.14","95.85K","0.12%"
"01/07/2025","42.22","42.39","42.41","42.19","167.79K","-0.52%"
"01/06/2025","42.44","42.45","42.49","42.37","28.71K","-0.17%"
"01/03/2025","42.51","42.62","42.64","42.50","27.30K","-0.14%"
"01/02/2025","42.57","42.66","42.71","42.49","28.96K","-0.03%"
"12/31/2024","42.58","42.73","42.75","42.52","49.23K","-0.18%"
"12/30/2024","42.66","42.62","42.67","42.60","74.69K","0.31%"
"12/27/2024","42.53","42.62","42.68","42.51","51.09K","-0.33%"
"12/26/2024","42.67","42.49","42.68","42.48","58.11K","0.10%"
"12/24/2024","42.63","42.51","42.63","42.49","40.57K","0.09%"
"12/23/2024","42.59","42.77","42.77","42.58","132.99K","-0.52%"
"12/20/2024","42.81","42.88","42.95","42.81","53.80K","0.38%"
"12/19/2024","42.65","42.70","42.73","42.58","57.63K","-0.51%"
"12/18/2024","42.87","43.23","43.28","42.86","41.52K","-0.86%"
"12/17/2024","43.24","43.23","43.31","43.21","30.01K","0.00%"
"12/16/2024","43.24","43.31","43.31","43.18","16.93K","0.04%"
"12/13/2024","43.23","43.37","43.37","43.19","53.94K","-0.49%"
"12/12/2024","43.44","43.58","43.68","43.44","31.44K","-0.46%"
"12/11/2024","43.64","43.85","43.85","43.62","22.40K","-0.34%"
"12/10/2024","43.79","43.76","43.82","43.74","23.01K","-0.20%"
"12/09/2024","43.88","43.99","43.99","43.88","65.57K","-0.40%"
"12/06/2024","44.05","44.11","44.13","43.96","20.74K","0.29%"
"12/05/2024","43.93","43.80","43.95","43.80","13.39K","0.01%"
"12/04/2024","43.92","43.63","43.93","43.61","28.88K","0.41%"
"12/03/2024","43.74","43.92","43.93","43.73","22.82K","-0.32%"
"12/02/2024","43.88","43.55","43.94","43.55","48.08K","-0.30%"
"11/29/2024","44.01","44.00","44.01","43.92","14.83K","0.55%"
"11/27/2024","43.77","43.80","43.86","43.70","42.83K","0.41%"
"11/26/2024","43.59","43.61","43.63","43.53","48.22K","-0.34%"
"11/25/2024","43.74","43.64","43.74","43.56","34.79K","1.29%"
"11/22/2024","43.19","43.22","43.25","43.15","18.34K","0.06%"
"11/21/2024","43.16","43.23","43.31","43.10","41.93K","-0.03%"
"11/20/2024","43.17","43.12","43.27","43.12","147.11K","-0.17%"
"11/19/2024","43.25","43.32","43.32","43.25","26.69K","0.21%"
"11/18/2024","43.16","43.03","43.18","42.98","19.73K","0.23%"
"11/15/2024","43.06","42.94","43.20","42.85","15.49K","0.05%"
"11/14/2024","43.04","43.14","43.24","43.01","21.15K","0.02%"
"11/13/2024","43.03","43.30","43.30","42.99","34.53K","-0.09%"
"11/12/2024","43.07","43.22","43.32","43.05","36.12K","-0.79%"
